,batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,max_total_run_x,crr,rrr,results,total_run_x
714,Mumbai Indians,Lucknow Super Giants,Lucknow,165,118,2,,39.0,8.39,0,178.0
715,Mumbai Indians,Lucknow Super Giants,Lucknow,164,117,1,,28.0,8.41,0,178.0
716,Mumbai Indians,Lucknow Super Giants,Lucknow,163,116,0,,22.5,8.43,0,178.0
717,Punjab Kings,Delhi Capitals,Dharamsala,214,125,9,,-0.0,10.27,0,214.0
718,Punjab Kings,Delhi Capitals,Dharamsala,214,124,8,,-0.0,10.35,0,214.0
719,Punjab Kings,Delhi Capitals,Dharamsala,214,123,7,,-0.0,10.44,0,214.0
720,Punjab Kings,Delhi Capitals,Dharamsala,214,122,6,,-0.0,10.52,0,214.0
721,Punjab Kings,Delhi Capitals,Dharamsala,214,121,5,,-0.0,10.61,0,214.0
722,Punjab Kings,Delhi Capitals,Dharamsala,214,119,3,,0.0,10.79,0,214.0
723,Punjab Kings,Delhi Capitals,Dharamsala,214,118,2,,0.0,10.88,0,214.0
724,Punjab Kings,Delhi Capitals,Dharamsala,213,117,1,,2.0,10.92,0,214.0
725,Punjab Kings,Delhi Capitals,Dharamsala,213,116,0,,1.5,11.02,0,214.0
726,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,178,119,3,,54.0,8.97,1,187.0
727,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,174,118,2,,39.0,8.85,1,187.0
728,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,173,117,1,,28.0,8.87,1,187.0
729,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,173,116,0,,21.0,8.95,1,187.0
730,Rajasthan Royals,Punjab Kings,Dharamsala,188,125,9,,-0.0,9.02,1,188.0
731,Rajasthan Royals,Punjab Kings,Dharamsala,188,124,8,,-0.0,9.1,1,188.0
732,Rajasthan Royals,Punjab Kings,Dharamsala,176,119,3,,72.0,8.87,1,188.0
733,Rajasthan Royals,Punjab Kings,Dharamsala,176,118,2,,36.0,8.95,1,188.0
734,Rajasthan Royals,Punjab Kings,Dharamsala,176,117,1,,24.0,9.03,1,188.0
735,Rajasthan Royals,Punjab Kings,Dharamsala,176,116,0,,18.0,9.1,1,188.0
736,Delhi Capitals,Chennai Super Kings,Delhi,224,125,9,,-0.0,10.75,0,224.0
737,Delhi Capitals,Chennai Super Kings,Delhi,224,124,8,,-0.0,10.84,0,224.0
738,Delhi Capitals,Chennai Super Kings,Delhi,219,119,3,,30.0,11.04,0,224.0
739,Delhi Capitals,Chennai Super Kings,Delhi,219,118,2,,15.0,11.14,0,224.0
740,Delhi Capitals,Chennai Super Kings,Delhi,219,117,1,,10.0,11.23,0,224.0
741,Delhi Capitals,Chennai Super Kings,Delhi,219,116,0,,7.5,11.33,0,224.0
742,Kolkata Knight Riders,Lucknow Super Giants,Kolkata,177,125,9,,-0.0,8.5,0,177.0
743,Kolkata Knight Riders,Lucknow Super Giants,Kolkata,162,119,3,,90.0,8.17,0,177.0
744,Kolkata Knight Riders,Lucknow Super Giants,Kolkata,158,118,2,,57.0,8.03,0,177.0
745,Kolkata Knight Riders,Lucknow Super Giants,Kolkata,152,117,1,,50.0,7.79,0,177.0
746,Kolkata Knight Riders,Lucknow Super Giants,Kolkata,148,116,0,,43.5,7.66,0,177.0
747,Mumbai Indians,Sunrisers Hyderabad,Mumbai,201,125,9,,-0.0,9.65,1,201.0
748,Mumbai Indians,Sunrisers Hyderabad,Mumbai,201,124,8,,-0.0,9.73,1,201.0
749,Mumbai Indians,Sunrisers Hyderabad,Mumbai,188,119,3,,78.0,9.48,1,201.0
750,Mumbai Indians,Sunrisers Hyderabad,Mumbai,184,118,2,,51.0,9.36,1,201.0
751,Mumbai Indians,Sunrisers Hyderabad,Mumbai,184,117,1,,34.0,9.44,1,201.0
752,Mumbai Indians,Sunrisers Hyderabad,Mumbai,184,116,0,,25.5,9.52,1,201.0
753,Gujarat Titans,Royal Challengers Bangalore,Bengaluru,196,119,3,,12.0,9.88,1,198.0
